Puunro	X	Y	Hmax	Hmean	h30	h50	h70	h90	p30	p50	p70	p90	puulaji
7449	49225.77	18522.32	10.637	6.151669	4.9914	5.831	7.0814	8.5388	0.123249	0.52381	0.767507	0.963585	lehmus
7450	49222.64	18527.35	11.784	7.344898	5.6524	7.2375	8.9149	10.2601	0.101667	0.375	0.605	0.855	lehmus
7451	49217.38	18533.34	11.11	6.545022	5.441	6.5865	7.484	9.2645	0.199605	0.486166	0.816206	0.986166	lehmus
7452	49213.38	18539.16	11.857	6.721565	5.563	6.7225	7.8805	9.835	0.221774	0.528226	0.802419	0.971774	lehmus
7453	49249.51	18499.17	10.159	6.650475	5.2378	6.634	7.9116	8.8356	0.071186	0.430508	0.644068	0.935593	lehmus
7454	49242.38	18495.07	13.219	8.547446	6.9743	8.916	10.4887	11.7738	0.144796	0.375566	0.615385	0.904977	lehmus
7455	49236.28	18492.17	8.659	5.805635	5.0504	5.793	6.5288	7.399	0.032333	0.228637	0.528868	0.801386	lehmus
7458	49217.3	18495.47	6.229	4.31843	3.819	4.45	5.008	5.398	0.14876	0.330579	0.636364	0.950413	lehmus
7460	49393.51	18444.81	12.322	8.682403	7.3623	8.97	10.0035	11.4773	0.040134	0.235786	0.520067	0.839465	lehmus
7461	49388.09	18455.65	13.197	9.495833	9.0587	9.611	10.884	12.1046	0.026966	0.204494	0.529213	0.847191	lehmus
7462	49372.3	18475.11	13.47	8.490879	6.552	8.372	10.63	12.2902	0.13986	0.421911	0.613054	0.881119	lehmus
7463	49362.82	18485.89	12.524	6.682427	5.2929	6.443	7.8587	10.9998	0.284823	0.642412	0.783784	0.93659	lehmus
7464	49355.43	18495.69	13.831	7.786803	6.3005	8.2215	10.0035	11.408	0.256219	0.46932	0.722222	0.982587	lehmus
7466	49439.61	18477.49	9.725	6.059896	5.1383	6.0565	6.9299	8.0571	0.089552	0.365672	0.660448	0.899254	lehmus
7467	49435.81	18500.63	6.249	3.998236	3.6076	3.9665	4.3994	5.27	0.213483	0.595506	0.837079	0.97191	lehmus
7468	49404.24	18544.4	15.04	10.671138	9.9522	10.686	11.9726	13.1756	0.004926	0.08867	0.20197	0.62069	lehmus
7469	49392.56	18548.36	40.507	23.088996	12.249	21.04	35.721	40.162	0.338718	0.502203	0.606951	0.714146	lehmus
7470	49380.62	18546.47	40.13	25.459156	15.4692	24.224	37.224	39.8652	0.184024	0.442872	0.55814	0.674419	lehmus
7471	49366.51	18542.8	39.335	14.29461	8.8825	10.0145	12.3325	32.332	0.709459	0.785714	0.856178	0.934363	lehmus
7472	49357.06	18543.79	39.158	14.163076	9.0575	13.0455	15.5475	28.302	0.504454	0.860802	0.89755	0.957127	lehmus
7473	49411.95	18550.76	40.155	10.5658	6.982	8.112	9.839	26.813	0.888641	0.888641	0.904232	0.96882	lehmus
7478	49204.82	17704	11.354	8.434475	7.8698	8.67	9.2324	10.357	0.005362	0.069705	0.179625	0.600536	vaahtera
7479	49212.98	17710.68	13.16	10.216087	8.6165	10.988	12.191	12.6045	0.005291	0.148148	0.362434	0.558201	vaahtera
7480	49219.32	17714.48	10.97	8.785797	8.4387	9.1365	9.5963	10.1013	0	0	0.03125	0.119792	vaahtera
7484	49256.2	17735.61	25.263	12.116148	10.0487	11.469	13.0721	19.3033	0.203988	0.733129	0.883436	0.933282	vaahtera
7485	49260.59	17745.3	14.372	9.584477	8.328	9.479	10.8966	12.3338	0.007974	0.08134	0.385965	0.69059	vaahtera
7486	49269.56	17748.81	12.616	8.41582	6.9986	8.255	9.446	11.437	0	0.172345	0.366733	0.659319	vaahtera
7489	49289.25	17765.15	15.503	11.201302	9.8078	11.169	12.8074	14.4461	0.017045	0.169192	0.515152	0.817551	vaahtera
7490	49299.34	17766.31	22.338	12.650275	11.0438	12.8855	13.7223	18.4742	0.130137	0.353425	0.79589	0.935616	vaahtera
7491	49306.55	17771.32	20.7	8.11254	6.7291	7.231	8.0008	10.3152	0.508711	0.905923	0.932056	0.961672	vaahtera
7492	49312.21	17775.33	21.874	8.549458	6.459	7.577	8.9785	14.6969	0.569277	0.846386	0.921687	0.989458	vaahtera
7493	49206.64	17724.53	14.436	11.538245	11.5753	12.2675	13.0673	13.6944	0.014184	0.053191	0.195035	0.22695	vaahtera
7494	49214.2	17726.75	15.47	10.362205	7.9874	11.585	12.5704	13.3337	0.05364	0.266284	0.385057	0.559387	vaahtera
